D_crit,kappa,crit_cv
54.1653,0.13251,0.85186
54.5494,0.13426,0.83121
52.5155,0.13227,0.85109
52.5155,0.13227,0.85109
52.5155,0.13227,0.85109
52.8374,0.14124,0.74777
53.4478,0.13331,0.79945
53.4478,0.13331,0.79945
53.4478,0.13331,0.79945
53.4478,0.13331,0.79945
53.4478,0.13331,0.79945
53.4478,0.13331,0.79945
57.9942,0.14680,0.79653
58.5099,0.13358,0.79070
58.5099,0.13358,0.79070
58.5099,0.13358,0.79070
58.5099,0.13358,0.79070
58.5099,0.13358,0.79070
58.5099,0.13358,0.79070
58.5099,0.13358,0.79070
58.5099,0.13358,0.79070
58.5099,0.13358,0.79070
58.5099,0.13358,0.79070
58.5099,0.13358,0.79070
58.5099,0.13358,0.79070
58.5099,0.13358,0.79070
58.5099,0.13358,0.79070
58.5099,0.13358,0.79070
58.5099,0.13358,0.79070
58.5099,0.13358,0.79070
60.0900,0.13507,0.83998
60.0900,0.13507,0.83998
60.0900,0.13507,0.83998
60.0900,0.13507,0.83998
60.7121,0.14689,0.80995
60.7121,0.14689,0.80995
60.7121,0.14689,0.80995
60.7121,0.14689,0.80995
59.1510,0.14821,0.87006
65.5313,0.16244,0.81910
65.5313,0.16244,0.81910
69.5453,0.14529,0.77877
69.5453,0.14529,0.77877
69.5453,0.14529,0.77877
69.8768,0.14345,0.82182
71.8300,0.14642,0.78792
71.8300,0.14642,0.78792
71.8300,0.14642,0.78792
71.8300,0.14642,0.78792
71.8300,0.14642,0.78792
71.8300,0.14642,0.78792
71.8300,0.14642,0.78792
67.4314,0.15460,0.77181
67.4314,0.15460,0.77181
67.4314,0.15460,0.77181
67.4314,0.15460,0.77181
71.2701,0.16821,0.85049
71.2701,0.16821,0.85049
74.5077,0.16259,0.84577
74.5077,0.16259,0.84577
74.5077,0.16259,0.84577
74.5077,0.16259,0.84577
74.3300,0.16738,0.91570
74.3300,0.16738,0.91570
74.3300,0.16738,0.91570
74.3300,0.16738,0.91570
74.3300,0.16738,0.91570
74.3300,0.16738,0.91570
76.2461,0.16629,0.90720
76.2461,0.16629,0.90720
76.2461,0.16629,0.90720
76.2461,0.16629,0.90720
76.2461,0.16629,0.90720
76.2461,0.16629,0.90720
76.2461,0.16629,0.90720
76.2461,0.16629,0.90720
74.3161,0.15112,0.97930
74.3161,0.15112,0.97930
71.0346,0.15714,0.94374
71.0346,0.15714,0.94374
71.0346,0.15714,0.94374
71.0346,0.15714,0.94374
71.0346,0.15714,0.94374
71.0346,0.15714,0.94374
71.0346,0.15714,0.94374
71.0346,0.15714,0.94374
71.0346,0.15714,0.94374
75.3279,0.15230,0.89599
75.3279,0.15230,0.89599
75.3279,0.15230,0.89599
75.8918,0.16132,0.84533
75.8918,0.16132,0.84533
73.1915,0.15820,0.85299
73.1915,0.15820,0.85299
78.0954,0.16447,0.81075
78.0954,0.16447,0.81075
78.0954,0.16447,0.81075
78.0954,0.16447,0.81075
78.0954,0.16447,0.81075
78.0954,0.16447,0.81075
77.3385,0.16869,0.81010
77.3385,0.16869,0.81010
77.3385,0.16869,0.81010
77.3385,0.16869,0.81010
77.3385,0.16869,0.81010
77.3385,0.16869,0.81010
73.0450,0.16760,0.87091
73.3487,0.15893,0.85114
73.3924,0.16033,0.83729
73.3924,0.16033,0.83729
73.3924,0.16033,0.83729
73.3924,0.16033,0.83729
73.3924,0.16033,0.83729
73.3924,0.16033,0.83729
73.3924,0.16033,0.83729
69.7587,0.15313,0.84250
71.9069,0.15884,0.84029
71.9069,0.15884,0.84029
73.1303,0.14860,0.96138
73.8664,0.14991,0.89603
73.8664,0.14991,0.89603
73.8664,0.14991,0.89603
73.8664,0.14991,0.89603
73.8664,0.14991,0.89603
78.2191,0.15293,0.87015
78.5479,0.16178,0.96633
78.5479,0.16178,0.96633
77.3554,0.15772,0.89467
77.1325,0.16982,0.92991
77.1325,0.16982,0.92991
77.1325,0.16982,0.92991
77.1325,0.16982,0.92991
77.1325,0.16982,0.92991
77.1325,0.16982,0.92991
72.6564,0.17633,0.84510
72.6564,0.17633,0.84510
69.4937,0.15127,0.85056
68.5930,0.15194,0.82287
68.5930,0.15194,0.82287
68.3113,0.15724,0.84668
68.3113,0.15724,0.84668
67.4900,0.15288,0.86774
67.4900,0.15288,0.86774
67.4900,0.15288,0.86774
67.4900,0.15288,0.86774
67.4900,0.15288,0.86774
67.4900,0.15288,0.86774
67.4900,0.15288,0.86774
67.4900,0.15288,0.86774
67.4900,0.15288,0.86774
67.4900,0.15288,0.86774
65.2741,0.14898,0.86575
65.2741,0.14898,0.86575
65.2741,0.14898,0.86575
65.2741,0.14898,0.86575
65.2741,0.14898,0.86575
69.9772,0.14266,0.89974
72.2840,0.15571,0.82301
72.2840,0.15571,0.82301
72.2840,0.15571,0.82301
72.2840,0.15571,0.82301
72.3114,0.17003,0.91661
72.3114,0.17003,0.91661
72.3114,0.17003,0.91661
72.3114,0.17003,0.91661
72.3114,0.17003,0.91661
72.3114,0.17003,0.91661
72.3114,0.17003,0.91661
72.4790,0.16533,0.85788
72.4790,0.16533,0.85788
72.4790,0.16533,0.85788
72.4790,0.16533,0.85788
72.4790,0.16533,0.85788
72.4790,0.16533,0.85788
72.4790,0.16533,0.85788
73.4417,0.15866,0.80237
76.6124,0.17432,0.83200
76.6124,0.17432,0.83200
77.3490,0.16825,0.83849
77.3490,0.16825,0.83849
77.3490,0.16825,0.83849
77.3490,0.16825,0.83849
77.3490,0.16825,0.83849
77.3490,0.16825,0.83849
77.3490,0.16825,0.83849
70.1877,0.17333,0.83616
67.9443,0.16923,0.80130
70.7096,0.15626,0.79641
70.7096,0.15626,0.79641
70.7096,0.15626,0.79641
75.6193,0.15878,0.82626
75.6193,0.15878,0.82626
75.6193,0.15878,0.82626
78.0467,0.16123,0.83834
74.8411,0.17227,0.93983
76.9978,0.16465,0.95993
76.9978,0.16465,0.95993
76.9978,0.16465,0.95993
71.3764,0.15292,0.88784
71.3764,0.15292,0.88784
71.3764,0.15292,0.88784
71.3764,0.15292,0.88784
71.3764,0.15292,0.88784
71.3764,0.15292,0.88784
71.3764,0.15292,0.88784
74.9353,0.15749,0.89117
76.0158,0.15495,0.86940
76.0158,0.15495,0.86940
76.0158,0.15495,0.86940
76.0158,0.15495,0.86940
76.4439,0.17850,0.81535
74.1086,0.17660,0.79560
72.6766,0.14327,0.77470
72.6766,0.14327,0.77470
72.6766,0.14327,0.77470
71.2752,0.16568,0.79988
71.2752,0.16568,0.79988
68.2394,0.16049,0.77655
68.2394,0.16049,0.77655
67.5383,0.15570,0.75907
68.1646,0.16941,0.76040
67.8539,0.16540,0.81205
67.8539,0.16540,0.81205
67.8539,0.16540,0.81205
74.1367,0.15878,0.76920
77.5818,0.16256,0.76483
77.5818,0.16256,0.76483
77.5818,0.16256,0.76483
77.5818,0.16256,0.76483
77.5818,0.16256,0.76483
77.5818,0.16256,0.76483
77.5818,0.16256,0.76483
77.5818,0.16256,0.76483
77.5818,0.16256,0.76483
77.5818,0.16256,0.76483
77.5818,0.16256,0.76483
77.6186,0.16725,0.75296
77.6186,0.16725,0.75296
78.4014,0.17847,0.85361
78.4014,0.17847,0.85361
78.4014,0.17847,0.85361
77.0272,0.14497,0.96112
77.0272,0.14497,0.96112
77.0272,0.14497,0.96112
73.4522,0.16907,0.99166
