x,c,branch
0.390378,0.639604,unstable
0.391379,0.642061,unstable
0.392380,0.644538,unstable
0.393382,0.647033,unstable
0.394383,0.649547,unstable
0.395384,0.652080,unstable
0.396385,0.654633,unstable
0.397386,0.657204,unstable
0.398387,0.659795,unstable
0.399388,0.662405,unstable
0.400389,0.665034,unstable
0.401390,0.667682,unstable
0.402392,0.670350,unstable
0.403393,0.673038,unstable
0.404394,0.675745,unstable
0.405395,0.678471,unstable
0.406396,0.681217,unstable
0.407397,0.683983,unstable
0.408398,0.686768,unstable
0.409399,0.689574,unstable
0.410400,0.692399,unstable
0.411402,0.695244,unstable
0.412403,0.698109,unstable
0.413404,0.700994,unstable
0.414405,0.703899,unstable
0.415406,0.706824,unstable
0.416407,0.709770,unstable
0.417408,0.712736,unstable
0.418409,0.715722,unstable
0.419410,0.718728,unstable
0.420412,0.721755,unstable
0.421413,0.724802,unstable
0.422414,0.727870,unstable
0.423415,0.730959,unstable
0.424416,0.734068,unstable
0.425417,0.737197,unstable
0.426418,0.740348,unstable
0.427419,0.743519,unstable
0.428420,0.746712,unstable
0.429422,0.749925,unstable
0.430423,0.753159,unstable
0.431424,0.756414,unstable
0.432425,0.759690,unstable
0.433426,0.762988,unstable
0.434427,0.766306,unstable
0.435428,0.769646,unstable
0.436429,0.773007,unstable
0.437430,0.776390,unstable
0.438432,0.779794,unstable
0.439433,0.783219,unstable
0.440434,0.786666,unstable
0.441435,0.790134,unstable
0.442436,0.793624,unstable
0.443437,0.797136,unstable
0.444438,0.800670,unstable
0.445439,0.804225,unstable
0.446440,0.807802,unstable
0.447442,0.811401,unstable
0.448443,0.815022,unstable
0.449444,0.818665,unstable
0.450445,0.822330,unstable
0.451446,0.826018,unstable
0.452447,0.829727,unstable
0.453448,0.833459,unstable
0.454449,0.837213,unstable
0.455451,0.840989,unstable
0.456452,0.844787,unstable
0.457453,0.848608,unstable
0.458454,0.852452,unstable
0.459455,0.856318,unstable
0.460456,0.860206,unstable
0.461457,0.864118,unstable
0.462458,0.868052,unstable
0.463459,0.872008,unstable
0.464461,0.875988,unstable
0.465462,0.879990,unstable
0.466463,0.884015,unstable
0.467464,0.888063,unstable
0.468465,0.892134,unstable
0.469466,0.896228,unstable
0.470467,0.900346,unstable
0.471468,0.904486,unstable
0.472469,0.908650,unstable
0.473471,0.912836,unstable
0.474472,0.917047,unstable
0.475473,0.921280,unstable
0.476474,0.925537,unstable
0.477475,0.929817,unstable
0.478476,0.934121,unstable
0.479477,0.938448,unstable
0.480478,0.942799,unstable
0.481479,0.947173,unstable
0.482481,0.951572,unstable
0.483482,0.955994,unstable
0.484483,0.960439,unstable
0.485484,0.964909,unstable
0.486485,0.969402,unstable
0.487486,0.973919,unstable
0.488487,0.978461,unstable
0.489488,0.983026,unstable
0.490489,0.987615,unstable
0.491491,0.992229,unstable
0.492492,0.996866,unstable
0.493493,1.001528,unstable
0.494494,1.006214,unstable
0.495495,1.010924,unstable
0.496496,1.015659,unstable
0.497497,1.020418,unstable
0.498498,1.025201,unstable
0.499499,1.030009,unstable
0.500501,1.034841,unstable
0.501502,1.039698,unstable
0.502503,1.044579,unstable
0.503504,1.049486,unstable
0.504505,1.054416,unstable
0.505506,1.059372,unstable
0.506507,1.064352,unstable
0.507508,1.069357,unstable
0.508509,1.074387,unstable
0.509511,1.079442,unstable
0.510512,1.084521,unstable
0.511513,1.089626,unstable
0.512514,1.094756,unstable
0.513515,1.099911,unstable
0.514516,1.105090,unstable
0.515517,1.110295,unstable
0.516518,1.115525,unstable
0.517519,1.120781,unstable
0.518521,1.126061,unstable
0.519522,1.131367,unstable
0.520523,1.136698,unstable
0.521524,1.142055,unstable
0.522525,1.147437,unstable
0.523526,1.152844,unstable
0.524527,1.158277,unstable
0.525528,1.163735,unstable
0.526529,1.169219,unstable
0.527531,1.174729,unstable
0.528532,1.180264,unstable
0.529533,1.185825,unstable
0.530534,1.191411,unstable
0.531535,1.197023,unstable
0.532536,1.202661,unstable
0.533537,1.208325,unstable
0.534538,1.214015,unstable
0.535539,1.219730,unstable
0.536541,1.225471,unstable
0.537542,1.231239,unstable
0.538543,1.237032,unstable
0.539544,1.242851,unstable
0.540545,1.248696,unstable
0.541546,1.254567,unstable
0.542547,1.260465,unstable
0.543548,1.266388,unstable
0.544549,1.272338,unstable
0.545551,1.278314,unstable
0.546552,1.284316,unstable
0.547553,1.290344,unstable
0.548554,1.296398,unstable
0.549555,1.302479,unstable
0.550556,1.308586,unstable
0.551557,1.314720,unstable
0.552558,1.320880,unstable
0.553560,1.327066,unstable
0.554561,1.333278,unstable
0.555562,1.339518,unstable
0.556563,1.345783,unstable
0.557564,1.352075,unstable
0.558565,1.358394,unstable
0.559566,1.364739,unstable
0.560567,1.371111,unstable
0.561568,1.377509,unstable
0.562570,1.383934,unstable
0.563571,1.390386,unstable
0.564572,1.396864,unstable
0.565573,1.403369,unstable
0.566574,1.409900,unstable
0.567575,1.416459,unstable
0.568576,1.423044,unstable
0.569577,1.429656,unstable
0.570578,1.436294,unstable
0.571580,1.442960,unstable
0.572581,1.449652,unstable
0.573582,1.456371,unstable
0.574583,1.463117,unstable
0.575584,1.469890,unstable
0.576585,1.476690,unstable
0.577586,1.483516,unstable
0.578587,1.490370,unstable
0.579588,1.497250,unstable
0.580590,1.504158,unstable
0.581591,1.511092,unstable
0.582592,1.518054,unstable
0.583593,1.525042,unstable
0.584594,1.532057,unstable
0.585595,1.539100,unstable
0.586596,1.546169,unstable
0.587597,1.553265,unstable
0.588598,1.560389,unstable
0.589600,1.567539,unstable
0.590601,1.574717,unstable
0.591602,1.581921,unstable
0.592603,1.589153,unstable
0.593604,1.596412,unstable
0.594605,1.603697,unstable
0.595606,1.611010,unstable
0.596607,1.618350,unstable
0.597608,1.625717,unstable
0.598610,1.633112,unstable
0.599611,1.640533,unstable
0.600612,1.647981,unstable
0.601613,1.655457,unstable
0.602614,1.662959,unstable
0.603615,1.670489,unstable
0.604616,1.678046,unstable
0.605617,1.685629,unstable
0.606618,1.693240,unstable
0.607620,1.700878,unstable
0.608621,1.708544,unstable
0.609622,1.716236,unstable
0.610623,1.723955,unstable
0.611624,1.731702,unstable
0.612625,1.739475,unstable
0.613626,1.747276,unstable
0.614627,1.755103,unstable
0.615628,1.762958,unstable
0.616630,1.770840,unstable
0.617631,1.778748,unstable
0.618632,1.786684,unstable
0.619633,1.794647,unstable
0.620634,1.802636,unstable
0.621635,1.810653,unstable
0.622636,1.818697,unstable
0.623637,1.826768,unstable
0.624638,1.834865,unstable
0.625640,1.842990,unstable
0.626641,1.851141,unstable
0.627642,1.859319,unstable
0.628643,1.867525,unstable
0.629644,1.875757,unstable
0.630645,1.884016,unstable
0.631646,1.892301,unstable
0.632647,1.900614,unstable
0.633648,1.908953,unstable
0.634650,1.917319,unstable
0.635651,1.925712,unstable
0.636652,1.934131,unstable
0.637653,1.942577,unstable
0.638654,1.951050,unstable
0.639655,1.959549,unstable
0.640656,1.968075,unstable
0.641657,1.976627,unstable
0.642659,1.985206,unstable
0.643660,1.993812,unstable
0.644661,2.002444,unstable
0.645662,2.011102,unstable
0.646663,2.019787,unstable
0.647664,2.028498,unstable
0.648665,2.037235,unstable
0.649666,2.045999,unstable
0.650667,2.054789,unstable
0.651669,2.063605,unstable
0.652670,2.072447,unstable
0.653671,2.081315,unstable
0.654672,2.090210,unstable
0.655673,2.099130,unstable
0.656674,2.108077,unstable
0.657675,2.117049,unstable
0.658676,2.126047,unstable
0.659677,2.135071,unstable
0.660679,2.144121,unstable
0.661680,2.153197,unstable
0.662681,2.162298,unstable
0.663682,2.171425,unstable
0.664683,2.180578,unstable
0.665684,2.189756,unstable
0.666685,2.198959,unstable
0.667686,2.208188,unstable
0.668687,2.217442,unstable
0.669689,2.226722,unstable
0.670690,2.236026,unstable
0.671691,2.245356,unstable
0.672692,2.254711,unstable
0.673693,2.264091,unstable
0.674694,2.273496,unstable
0.675695,2.282926,unstable
0.676696,2.292381,unstable
0.677697,2.301860,unstable
0.678699,2.311365,unstable
0.679700,2.320893,unstable
0.680701,2.330447,unstable
0.681702,2.340024,unstable
0.682703,2.349627,unstable
0.683704,2.359253,unstable
0.684705,2.368904,unstable
0.685706,2.378578,unstable
0.686707,2.388277,unstable
0.687709,2.398000,unstable
0.688710,2.407747,unstable
0.689711,2.417517,unstable
0.690712,2.427311,unstable
0.691713,2.437129,unstable
0.692714,2.446970,unstable
0.693715,2.456835,unstable
0.694716,2.466723,unstable
0.695717,2.476635,unstable
0.696719,2.486569,unstable
0.697720,2.496527,unstable
0.698721,2.506507,unstable
0.699722,2.516510,unstable
0.700723,2.526536,unstable
0.701724,2.536585,unstable
0.702725,2.546656,unstable
0.703726,2.556749,unstable
0.704727,2.566865,unstable
0.705729,2.577003,unstable
0.706730,2.587162,unstable
0.707731,2.597344,unstable
0.708732,2.607548,unstable
0.709733,2.617773,unstable
0.710734,2.628020,unstable
0.711735,2.638288,unstable
0.712736,2.648578,unstable
0.713737,2.658889,unstable
0.714739,2.669221,unstable
0.715740,2.679573,unstable
0.716741,2.689947,unstable
0.717742,2.700341,unstable
0.718743,2.710755,unstable
0.719744,2.721190,unstable
0.720745,2.731646,unstable
0.721746,2.742121,unstable
0.722747,2.752616,unstable
0.723749,2.763131,unstable
0.724750,2.773665,unstable
0.725751,2.784219,unstable
0.726752,2.794792,unstable
0.727753,2.805384,unstable
0.728754,2.815996,unstable
0.729755,2.826626,unstable
0.730756,2.837274,unstable
0.731758,2.847941,unstable
0.732759,2.858627,unstable
0.733760,2.869330,unstable
0.734761,2.880052,unstable
0.735762,2.890791,unstable
0.736763,2.901548,unstable
0.737764,2.912322,unstable
0.738765,2.923113,unstable
0.739766,2.933922,unstable
0.740768,2.944747,unstable
0.741769,2.955588,unstable
0.742770,2.966447,unstable
0.743771,2.977321,unstable
0.744772,2.988211,unstable
0.745773,2.999117,unstable
0.746774,3.010039,unstable
0.747775,3.020976,unstable
0.748776,3.031928,unstable
0.749778,3.042895,unstable
0.750779,3.053877,unstable
0.751780,3.064874,unstable
0.752781,3.075884,unstable
0.753782,3.086909,unstable
0.754783,3.097947,unstable
