regime,Vb_n,Vb_next
sizer,19.2822,22.5061
sizer,22.5061,20.0101
sizer,20.0101,19.4435
sizer,19.4435,22.0122
sizer,22.0122,19.8088
sizer,19.8088,18.0392
sizer,18.0392,19.7070
sizer,19.7070,20.0084
sizer,20.0084,17.2531
sizer,17.2531,19.8968
sizer,19.8968,17.6563
sizer,17.6563,21.3089
sizer,21.3089,21.5199
sizer,21.5199,21.2152
sizer,21.2152,20.2871
sizer,20.2871,21.5485
sizer,21.5485,18.5910
sizer,18.5910,21.2339
sizer,21.2339,20.8582
sizer,20.8582,19.8987
sizer,19.8987,19.0432
sizer,19.0432,18.1365
sizer,18.1365,19.3471
sizer,19.3471,23.3834
sizer,23.3834,22.8300
sizer,22.8300,19.0772
sizer,19.0772,21.5197
sizer,21.5197,17.6476
sizer,17.6476,22.8404
sizer,22.8404,17.0295
sizer,17.0295,18.2630
sizer,18.2630,18.7727
sizer,18.7727,20.6679
sizer,20.6679,20.4577
sizer,20.4577,15.2843
sizer,15.2843,20.0336
sizer,20.0336,20.3696
sizer,20.3696,20.0096
sizer,20.0096,21.9094
sizer,21.9094,21.9166
sizer,21.9166,17.0888
sizer,17.0888,19.4755
sizer,19.4755,20.6370
sizer,20.6370,25.3298
sizer,25.3298,20.6375
sizer,20.6375,20.7341
sizer,20.7341,21.8501
sizer,21.8501,19.4384
sizer,19.4384,20.7846
sizer,20.7846,20.4023
sizer,20.4023,21.3244
sizer,21.3244,22.6632
sizer,22.6632,19.2459
sizer,19.2459,21.5770
sizer,21.5770,22.0980
sizer,22.0980,20.5713
sizer,20.5713,21.7899
sizer,21.7899,23.7432
sizer,23.7432,18.3437
sizer,18.3437,24.6009
sizer,24.6009,22.3077
sizer,22.3077,21.1019
sizer,21.1019,18.7484
sizer,18.7484,20.0642
sizer,20.0642,17.6907
sizer,17.6907,19.0151
sizer,19.0151,21.9019
sizer,21.9019,22.0522
sizer,22.0522,14.6022
sizer,14.6022,25.2729
sizer,25.2729,23.8374
sizer,23.8374,18.6059
sizer,18.6059,20.6608
sizer,20.6608,17.9325
sizer,17.9325,20.7933
sizer,20.7933,21.4178
sizer,21.4178,26.0096
sizer,26.0096,22.3126
sizer,22.3126,22.2933
sizer,22.2933,17.9940
sizer,17.9940,20.6766
sizer,20.6766,19.5749
sizer,19.5749,21.2612
sizer,21.2612,19.7889
sizer,19.7889,18.2931
sizer,18.2931,22.6876
sizer,22.6876,20.7901
sizer,20.7901,22.4497
sizer,22.4497,17.9932
sizer,17.9932,21.4610
sizer,21.4610,18.8429
sizer,18.8429,17.5040
sizer,17.5040,15.3658
sizer,15.3658,20.6674
sizer,20.6674,19.8841
sizer,19.8841,16.3117
sizer,16.3117,17.0457
sizer,17.0457,20.4587
sizer,20.4587,22.5741
sizer,22.5741,16.0982
sizer,16.0982,16.7922
sizer,16.7922,22.2457
sizer,22.2457,17.9059
sizer,17.9059,19.3650
sizer,19.3650,23.3679
sizer,23.3679,20.2823
sizer,20.2823,19.6350
sizer,19.6350,16.2886
sizer,16.2886,19.2904
