draw,young_rls,old_rls,fold,mother_rls
301,18.4987,5.6841,3.2545,27.3662
302,16.8963,5.6101,3.0117,25.6540
303,17.2491,5.3799,3.2062,25.9767
304,17.7019,5.6697,3.1222,26.6350
305,17.8579,5.5077,3.2423,27.1690
306,18.3362,5.4653,3.3550,27.3670
307,18.4025,5.4122,3.4002,27.7938
308,18.2693,5.4044,3.3804,27.6073
309,17.5317,5.3356,3.2858,26.2482
310,17.0963,5.4118,3.1591,25.8518
311,17.5949,5.3896,3.2646,26.4177
312,18.3341,5.4547,3.3612,27.5328
313,17.4882,5.2053,3.3597,25.9172
314,16.3957,5.6039,2.9258,24.9183
315,18.5366,5.0687,3.6571,27.1558
316,17.7590,5.2059,3.4113,26.5542
317,17.9766,5.4116,3.3219,26.7562
318,17.6603,5.4843,3.2202,26.1718
319,17.6515,5.6020,3.1509,26.2037
320,17.7355,5.3493,3.3155,26.6182
321,17.8514,5.3625,3.3289,26.5450
322,17.2401,5.4904,3.1400,25.6620
323,16.9982,5.2168,3.2584,25.3605
324,17.3940,5.7382,3.0313,26.1615
325,17.7567,5.6158,3.1619,26.9507
326,17.2100,5.4072,3.1828,26.0835
327,18.6360,5.4965,3.3905,28.0368
328,16.7326,5.5816,2.9978,25.1810
329,17.8638,5.1071,3.4978,26.4498
330,18.1698,5.5864,3.2525,27.3350
331,19.0121,5.1084,3.7217,28.0845
332,16.8439,5.6516,2.9804,25.0612
333,17.2926,5.5875,3.0949,25.8142
334,17.6752,4.9778,3.5508,26.1097
335,17.9623,5.0667,3.5452,26.4847
336,18.2650,5.3166,3.4354,27.2948
337,18.2630,5.3335,3.4242,27.2065
338,18.0754,5.4274,3.3304,27.0278
339,17.3382,5.4599,3.1755,25.5647
340,18.1976,5.0200,3.6250,27.0102
341,17.6259,5.0758,3.4725,26.2915
342,17.3248,5.1535,3.3618,25.7005
343,17.7425,5.1328,3.4567,26.5077
344,17.2778,5.2985,3.2609,25.8788
345,17.9012,4.9371,3.6259,26.3590
346,18.2426,5.0418,3.6183,26.9277
347,18.2093,5.4138,3.3635,27.3687
348,19.0518,5.4970,3.4659,28.2130
349,17.9646,5.1183,3.5099,26.6268
350,17.6715,5.3474,3.3047,26.4403
351,17.7552,5.2639,3.3730,26.7382
352,17.8337,5.5877,3.1916,26.8212
353,17.9803,5.5800,3.2223,27.1017
354,17.2188,5.4056,3.1854,25.5613
355,17.5603,5.7695,3.0436,26.5112
356,17.1906,5.2802,3.2556,25.5768
357,16.9202,5.3972,3.1350,25.6467
358,18.0252,5.5377,3.2550,26.6700
359,17.0374,5.1720,3.2942,25.4797
360,16.4547,5.2393,3.1406,25.2472
361,16.9356,5.3074,3.1909,25.5370
362,17.4095,4.9636,3.5074,26.0970
363,17.3307,5.1745,3.3493,25.9725
364,17.4516,5.0139,3.4807,26.1303
365,17.1857,4.9076,3.5019,25.8152
366,17.0095,5.3876,3.1572,25.5327
367,16.2999,5.1170,3.1855,24.4442
368,17.0613,5.2830,3.2295,25.8948
369,16.9456,5.0959,3.3254,25.4970
370,16.8945,5.4906,3.0770,25.5420
371,16.4657,5.3836,3.0585,25.1177
372,17.9065,5.3894,3.3225,26.9360
373,16.6392,4.6904,3.5475,25.2513
374,17.0932,5.1154,3.3415,25.7058
375,17.1555,5.2636,3.2592,25.4127
376,17.4148,5.3637,3.2468,26.0293
377,16.5593,5.0151,3.3019,24.9045
378,16.5337,5.3588,3.0853,25.1143
379,17.2270,5.1799,3.3257,25.8442
380,17.7070,4.9954,3.5446,26.4937
381,17.9397,5.2275,3.4318,26.8617
382,17.7001,4.9570,3.5708,26.3172
383,18.1128,5.3418,3.3908,26.8790
384,17.7366,5.5434,3.1996,26.8012
385,17.4671,5.3349,3.2741,26.2493
386,18.2263,5.4887,3.3207,27.5743
387,16.7503,5.3955,3.1045,25.2843
388,18.2878,5.3565,3.4141,27.3408
389,17.6868,5.3361,3.3146,26.6822
390,17.7291,5.2364,3.3857,26.4832
391,16.7292,5.0313,3.3250,24.8967
392,18.0221,5.0784,3.5488,26.8413
393,17.7301,5.6814,3.1207,26.5295
394,17.4003,5.5230,3.1505,25.8392
395,18.4931,5.3113,3.4818,28.2802
396,17.3447,5.4219,3.1990,25.9693
397,17.2197,5.4436,3.1633,25.9757
398,17.9245,5.5560,3.2262,27.2190
399,17.6570,5.7124,3.0910,26.7243
400,17.1178,5.3631,3.1918,25.6938
