Vmother_div,Vdaughter,Ddaughter
93.0696,39.5513,3.4566
92.0104,44.9464,10.0611
80.7692,32.6027,2.4156
101.0666,49.04,9.0656
79.8461,36.7162,5.9135
97.0549,47.0934,10.825
81.1356,35.1952,3.9519
82.962,33.4879,3.0988
100.5329,48.1052,8.4546
102.0041,50.5128,14.9797
94.7152,46.8428,13.861
99.5472,48.1069,9.2031
93.2193,45.537,12.1747
96.737,45.6982,7.8777
89.092,42.0867,6.6414
102.6595,49.8129,10.4908
88.2321,35.6151,2.7342
73.4384,26.4243,1.0486
70.5827,25.3968,0.78
106.3158,48.8879,5.4505
94.3097,46.6422,14.6347
96.8321,46.9853,11.0298
78.0392,32.3842,2.7851
99.6492,48.8126,10.4741
103.8932,50.5919,12.246
94.0359,45.4436,9.1513
84.3303,34.0402,2.3933
97.1411,46.4822,7.677
58.3253,18.6641,0.2102
93.5417,46.1947,14.5284
96.0755,47.0621,12.5182
99.1847,46.8545,7.6548
90.894,44.2618,11.3078
74.8719,30.2223,2.1267
59.7673,19.1255,0.3831
100.3419,49.6896,14.0422
92.057,41.281,4.3768
93.6245,45.8615,10.0349
98.616,48.3066,13.5478
98.1268,47.9342,10.5863
83.7587,36.9847,4.2715
59.9764,20.461,0.5779
95.0308,46.9989,14.9671
93.7195,45.6378,10.5128
94.7091,45.9552,9.9885
64.295,23.1344,1.1649
96.7513,46.5401,11.113
94.2472,45.3355,9.8579
100.6575,49.4267,14.1524
67.0379,25.2256,1.3821
95.8191,43.5487,4.6886
96.3628,46.9249,10.5739
68.619,23.4094,0.8502
96.0321,47.494,15.728
82.799,34.3594,3.058
94.2867,45.9139,10.7926
101.4682,47.1376,7.3647
105.7227,50.2859,8.2661
57.3219,18.343,0.2416
96.8482,47.5562,13.4182
84.8304,39.4085,6.0396
99.3166,48.7683,13.341
88.3251,42.4869,10.762
61.3996,20.9465,0.8389
110.315,54.4781,14.2034
88.0208,42.1181,7.767
67.708,24.3624,1.1066
98.1539,45.598,7.1545
97.0049,47.6331,11.8185
83.9889,32.8249,2.1983
65.7246,22.422,0.6089
98.1203,48.3753,13.4015
104.8117,51.7603,14.1939
99.1293,48.6763,11.4946
92.9657,43.1877,6.4356
73.751,29.7698,3.1597
74.3029,30.8338,3.4747
94.6889,45.3089,7.2316
76.9589,30.0774,2.1198
77.9446,33.1237,3.1136
91.2598,44.102,10.9718
90.6736,41.695,6.2464
92.7156,43.7985,8.043
76.6937,32.5921,4.2264
77.8778,33.782,3.7575
89.0603,41.3735,5.1675
100.3247,48.8542,10.1501
82.3879,38.6169,7.4802
80.1529,35.3925,4.2229
85.0679,35.301,2.6954
97.3321,47.5461,12.1403
101.5736,49.4624,10.7371
89.3398,42.4936,6.793
91.8281,43.3793,6.7563
